service, type, link, generated, timeSinceGenerated, lastRecordTimeStamp, firstRecordTimeStamp, Collection Time Window in Minutes, totalRecords, rank1, rank2, rank3, rank4, rank5, rank6, rank7, rank8, rank9, rank10
serbianCyr,read,https://onward-journeys.api.bbci.co.uk/api/most/read/serbian_cyr,2024-05-02T09:37:31.512Z,9,2024-05-02T09:34:00Z,2024-05-02T07:34:00Z,120,20,50,5,3,2,2,2,2,2,2,2
serbianCyr,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/serbian_cyr,2024-05-02T09:38:05.025Z,8,2024-05-02T09:38:00Z,2024-04-27T09:35:00Z,7203,20,8,5,3,3,2,2,2,2,1,1
serbianLat,read,https://onward-journeys.api.bbci.co.uk/api/most/read/serbian_lat,2024-05-02T09:37:38.667Z,9,2024-05-02T09:34:00Z,2024-05-02T07:34:00Z,120,20,65,60,56,44,35,33,32,29,25,21
serbianLat,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/serbian_lat,2024-05-02T09:38:14.344Z,8,2024-05-02T09:35:00Z,2024-05-02T03:35:00Z,360,20,41,19,14,13,8,8,7,6,6,6
sinhala,read,https://onward-journeys.api.bbci.co.uk/api/most/read/sinhala,2024-05-02T09:34:41.807Z,12,2024-05-02T09:32:00Z,2024-05-02T07:32:00Z,120,20,176,173,137,73,29,27,14,13,10,9
sinhala,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/sinhala,2024-05-02T09:35:07.434Z,11,2024-05-02T09:35:00Z,2024-05-01T03:32:00Z,1803,20,352,155,123,77,41,34,31,24,23,15
somali,read,https://onward-journeys.api.bbci.co.uk/api/most/read/somali,2024-05-02T09:36:06.562Z,10,2024-05-02T09:33:00Z,2024-05-02T07:33:00Z,120,20,472,335,266,214,201,190,118,94,30,30
somali,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/somali,2024-05-02T09:36:50.455Z,10,2024-05-02T09:36:00Z,2024-05-01T13:34:00Z,1202,20,39,29,29,26,14,10,8,6,5,4
sport,read,https://onward-journeys.api.bbci.co.uk/api/most/read/sport,2024-05-02T09:31:53.686Z,15,2024-05-02T09:30:00Z,2024-05-02T09:15:00Z,15,11,11132,2455,1964,596,362,241,239,165,120,86
sport,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/sport,2024-05-02T09:32:15.531Z,14,2024-05-02T09:30:00Z,2024-05-02T09:15:00Z,15,20,294,142,11,9,7,7,4,4,4,3
swahili,read,https://onward-journeys.api.bbci.co.uk/api/most/read/swahili,2024-05-02T09:36:39.566Z,10,2024-05-02T09:34:00Z,2024-05-02T08:34:00Z,60,20,273,79,79,63,61,51,47,35,33,33
swahili,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/swahili,2024-05-02T09:36:58.538Z,9,2024-05-02T09:36:00Z,2024-05-01T13:34:00Z,1202,20,44,38,35,27,25,21,21,20,18,15
tamil,read,https://onward-journeys.api.bbci.co.uk/api/most/read/tamil,2024-05-02T09:38:29.938Z,8,2024-05-02T09:35:00Z,2024-05-02T09:05:00Z,30,20,586,215,208,151,138,82,77,74,58,41
tamil,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/tamil,2024-05-02T09:38:57.98Z,7,2024-05-02T09:37:00Z,2024-05-02T05:37:00Z,240,20,25,23,21,20,14,13,13,12,11,9
telugu,read,https://onward-journeys.api.bbci.co.uk/api/most/read/telugu,2024-05-02T09:25:24.881Z,21,2024-05-02T09:23:00Z,2024-05-02T07:23:00Z,120,20,1586,1240,530,343,208,196,173,155,124,113
telugu,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/telugu,2024-05-02T09:25:42.004Z,21,2024-05-02T09:25:00Z,2024-05-01T21:23:00Z,722,20,87,53,18,17,16,14,14,13,11,8
thai,read,https://onward-journeys.api.bbci.co.uk/api/most/read/thai,2024-05-02T09:40:11.259Z,6,2024-05-02T09:40:00Z,2024-05-01T21:38:00Z,722,20,3826,1843,1359,1280,947,814,644,615,460,459
thai,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/thai,2024-05-02T09:40:45.773Z,6,2024-05-02T09:40:00Z,2024-05-01T13:38:00Z,1202,20,110,44,43,27,26,25,25,24,24,24
tigrinya,read,https://onward-journeys.api.bbci.co.uk/api/most/read/tigrinya,2024-05-02T09:36:44.834Z,10,2024-05-02T09:34:00Z,2024-05-02T07:34:00Z,120,20,422,370,205,154,131,120,90,81,48,37
tigrinya,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/tigrinya,2024-05-02T09:37:04.909Z,9,2024-05-02T09:37:00Z,2024-04-29T21:34:00Z,3603,13,59,4,4,3,2,2,1,1,1,1
turkce,read,https://onward-journeys.api.bbci.co.uk/api/most/read/turkce,2024-05-02T09:40:25.77Z,6,2024-05-02T09:38:00Z,2024-05-02T09:23:00Z,15,20,1073,671,90,63,58,45,43,42,39,35
turkce,watched,https://onward-journeys.api.bbci.co.uk/api/most/watched/turkce,2024-05-02T09:25:50.845Z,21,2024-05-02T09:25:00Z,2024-05-01T13:23:00Z,1202,20,82,72,69,49,48,31,29,27,24,24
ukrainian,read,https://onward-journeys.api.bbci.co.uk/api/most/read/ukrainian,2024-05-02T09:27:34.775Z,19,2024-05-02T09:25:00Z,2024-05-02T09:10:00Z,15,20,648,270,142,72,69,61,55,35,32,30
